price,xgb,lightgbm
889999999.999999,9.5e+08,9.87e+08
889999999.999999,977900000,997700000
8.4e+08,985700000,977800000
950000000.000001,1002100000,1045600000
3.05e+08,363700000,351100000
3.05e+08,363700000,351100000
809999999.999999,788100000,819800000
4.4e+08,381900000,366300000
5e+08,658200000,642200000
490000000.000001,487700000,490300000
4.65e+08,362600000,358200000
1.25e+09,1130100000,1157400000
770000000.000001,5.07e+08,488900000
1.295e+09,821700000,811900000
620000000.000001,475500000,451100000
4.15e+08,409500000,418600000
5.9e+08,601600000,601700000
979999999.999999,928100000,960600000
4.6e+08,481600000,5.02e+08
1.25e+09,1292500000,1.293e+09
990000000.000001,968300000,964100000
3.95e+08,449300000,436400000
4.12e+08,473500000,477900000
1.35e+09,1.02e+09,982600000
5.95e+08,6.12e+08,604800000
479999999.999999,455700000,450800000
8e+08,794600000,756300000
4.35e+08,408200000,428600000
770000000.000001,8.53e+08,836600000
5.35e+08,513300000,519300000
889999999.999999,807800000,876700000
550000000.000001,393400000,396500000
7.5e+08,7.69e+08,780400000
604999999.999999,631400000,612300000
7.5e+08,747600000,769800000
3.05e+08,375900000,369300000
600000000.000001,677800000,679500000
720000000.000001,700200000,687200000
490000000.000001,502700000,465300000
550000000.000001,579900000,589200000
4.45e+08,459100000,462200000
829999999.999999,926500000,905600000
869999999.999999,886600000,878100000
1.35e+09,1139400000,1136200000
7.5e+08,820300000,815200000
3.15e+08,322300000,3.21e+08
620000000.000001,646200000,636700000
3.25e+08,342700000,338700000
7.8e+08,863200000,859700000
1.3e+09,1238800000,1274800000
6.5e+08,660700000,6.5e+08
3.2e+08,387200000,404900000
720000000.000001,5.32e+08,544800000
5e+08,495100000,5.04e+08
4.3e+08,389500000,390700000
355000000.000001,473400000,452100000
7.8e+08,913600000,889200000
1.15e+09,1011100000,1022900000
1.3e+09,1.312e+09,1305200000
355000000.000001,406900000,386100000
3.95e+08,3.8e+08,3.77e+08
4.55e+08,446300000,458500000
1.5e+09,1153900000,1146700000
470000000.000001,474100000,486900000
490000000.000001,594100000,582600000
3e+08,423800000,418500000
3.3e+08,369600000,370800000
3e+08,350300000,345900000
4.4e+08,395300000,395800000
369999999.999999,393600000,386800000
3.25e+08,371900000,372100000
3.25e+08,371900000,372100000
720000000.000001,753100000,742700000
349999999.999999,384700000,381300000
4.45e+08,486700000,491800000
5.8e+08,729300000,700100000
900000000.000001,855800000,840900000
3.18e+08,3.37e+08,333400000
900000000.000001,8.22e+08,884400000
479999999.999999,408800000,415100000
399999999.999999,408400000,394100000
470000000.000001,547500000,550200000
349999999.999999,409300000,416300000
449999999.999999,491700000,484700000
5.2e+08,564500000,532200000
490000000.000001,405400000,413700000
3.12e+08,446700000,454200000
3.2e+08,369500000,364600000
4.3e+08,440600000,459400000
550000000.000001,523900000,510800000
4.25e+08,480300000,486600000
900000000.000001,9.94e+08,942500000
6.8e+08,639800000,612900000
790000000.000001,805200000,801100000
340000000.000001,3.63e+08,360400000
3.8e+08,405900000,403500000
4.3e+08,436900000,449900000
600000000.000001,491400000,500500000
3.1e+08,353700000,355500000
4.3e+08,427400000,431100000
6.5e+08,685700000,681200000
794999999.999999,675600000,663200000
6.7e+08,726300000,723900000
979999999.999999,849800000,922200000
470000000.000001,378300000,388700000
349999999.999999,531800000,538400000
416999999.999999,497800000,489100000
550000000.000001,574700000,561400000
659999999.999999,670700000,657700000
399999999.999999,464800000,463500000
4.12e+08,436100000,431600000
3.85e+08,379100000,376700000
659999999.999999,670700000,657700000
5.3e+08,535900000,564600000
974999999.999999,878900000,935400000
974999999.999999,878900000,935400000
3.95e+08,552200000,578200000
3.3e+08,398600000,396900000
6.8e+08,622900000,639100000
4.45e+08,497900000,489400000
5.3e+08,530500000,539300000
470000000.000001,491200000,488100000
5e+08,424600000,412900000
374999999.999999,435500000,436300000
3.98e+08,435500000,430800000
1.1e+09,1267600000,1252800000
1.2e+09,923200000,903400000
630000000.000001,683700000,675300000
1.07e+09,1209600000,1196900000
3.8e+08,519300000,489300000
7.5e+08,742400000,805100000
7.35e+08,996900000,982600000
5.3e+08,534100000,546300000
950000000.000001,1.14e+09,1130100000
600000000.000001,638900000,635700000
5e+08,475700000,479100000
3.3e+08,382100000,384500000
479999999.999999,814800000,7.8e+08
1.35e+09,1508100000,1443300000
447999999.999999,446200000,441300000
1.25e+09,1508100000,1443300000
790000000.000001,719500000,744600000
880000000.000001,832300000,8.34e+08
3.95e+08,468800000,447400000
5e+08,475700000,479100000
1.46e+09,950500000,1000100000
1.1e+09,1079400000,1147800000
689999999.999999,542300000,568800000
7e+08,745600000,724800000
1.3e+09,1254800000,1254600000
390000000.000001,414500000,422100000
1.07e+09,729300000,671100000
620000000.000001,614300000,624700000
620000000.000001,570300000,576200000
1.2e+09,1051500000,1105900000
900000000.000001,876700000,868600000
479999999.999999,553600000,564300000
6.5e+08,622800000,619600000
620000000.000001,5.8e+08,5.74e+08
4.3e+08,434300000,436400000
555000000.000001,550200000,5.45e+08
343000000.000001,325100000,330300000
3.06e+08,357100000,3.5e+08
3.79e+08,445900000,446100000
790500000.000001,5.81e+08,625800000
1.5e+09,992300000,1030700000
3.35e+08,383600000,379700000
7.99e+08,731600000,794400000
3.95e+08,507600000,493200000
3.3e+08,517100000,509600000
600000000.000001,590600000,609600000
349999999.999999,372300000,383100000
950000000.000001,807200000,748900000
4.6e+08,905500000,865200000
1.25e+09,1357300000,1363800000
950000000.000001,877300000,906800000
596999999.999999,640600000,631900000
1.1e+09,1078800000,1034400000
3.62e+08,342600000,355900000
6.5e+08,633400000,624400000
600000000.000001,511600000,505100000
358999999.999999,379600000,397700000
3.6e+08,384900000,394600000
3.6e+08,338400000,342400000
979999999.999999,958700000,968600000
1.3e+09,544900000,577500000
1.1e+09,1129600000,1150900000
1.39e+09,1253700000,1265400000
1.3e+09,1367100000,1344100000
374999999.999999,346400000,359800000
6.5e+08,6.19e+08,593300000
7.8e+08,626100000,642800000
4.3e+08,455700000,441800000
5.2e+08,559600000,533600000
7.5e+08,523100000,461400000
326500000,332100000,326300000
355000000.000001,328900000,335900000
479999999.999999,457900000,480300000
1.1e+09,1055300000,1.016e+09
630000000.000001,600600000,623500000
974999999.999999,920600000,955600000
974999999.999999,920600000,955600000
1.174e+09,958700000,912100000
398963399.999999,3.98e+08,404900000
449999999.999999,473800000,4.6e+08
990000000.000001,780800000,784300000
494540700,4.7e+08,470500000
7.8e+08,774800000,779700000
1.49e+09,1.49e+09,1498400000
7e+08,792100000,773100000
364708200,366600000,364900000
615000000.000001,523900000,538100000
7.5e+08,7.61e+08,771900000
3.8e+08,405600000,398600000
3.8e+08,402900000,399100000
5.8e+08,589800000,593100000
3.2e+08,353800000,343300000
3.1e+08,330800000,324900000
3.85e+08,454200000,437100000
3.1e+08,330800000,324900000
388999999.999999,454200000,437100000
3.1e+08,330800000,324900000
3.2e+08,353800000,343300000
3.1e+08,330800000,324900000
7e+08,505600000,491700000
6.5e+08,572100000,5.64e+08
7e+08,539800000,5.36e+08
5.9e+08,5.68e+08,577200000
6.5e+08,606200000,644600000
6.5e+08,714400000,708200000
5.7e+08,472900000,477600000
419999999.999999,415400000,415500000
4.3e+08,444400000,438800000
6.1e+08,581300000,600700000
900000000.000001,624600000,606300000
1.36e+09,1177800000,1214400000
9.95e+08,1070400000,1029500000
4.15e+08,397500000,383100000
4.3e+08,439900000,425200000
729999999.999999,665300000,648500000
7e+08,489100000,490700000
3.98e+08,589300000,565500000
3.1e+08,381400000,3.9e+08
340000000.000001,362600000,354600000
640000000.000001,893700000,890200000
479999999.999999,6.74e+08,662100000
3.3e+08,355200000,358400000
3.1e+08,384300000,383100000
340000000.000001,366200000,373900000
539999999.999999,6.07e+08,614400000
757000000.000001,774400000,7.58e+08
560000000.000001,470700000,480400000
889999999.999999,650700000,647200000
4.65e+08,493500000,464100000
6.7e+08,535100000,539800000
3.98e+08,521500000,494800000
5.2e+08,410500000,407100000
4.6e+08,411400000,4.25e+08
596999999.999999,601800000,6.68e+08
1.25e+09,735800000,778300000
470000000.000001,590200000,597500000
889999999.999999,1036200000,1072300000
7e+08,743400000,738100000
399999999.999999,527200000,517300000
1.65e+09,8.36e+08,844700000
974999999.999999,879600000,888600000
6.5e+08,820600000,834200000
3.8e+08,4.02e+08,383300000
550000000.000001,782400000,732600000
3.98e+08,397200000,412600000
979999999.999999,655900000,664700000
3.25e+08,347400000,332300000
3.2e+08,404600000,393500000
759999999.999999,725600000,723300000
539999999.999999,549100000,555500000
449999999.999999,482600000,504200000
3.1e+08,3.15e+08,316500000
510000000.000001,530500000,512300000
440999999.999999,503500000,494500000
4.45e+08,457900000,461900000
720000000.000001,519900000,524800000
449999999.999999,472500000,460100000
434716109,4.2e+08,426200000
1.18e+09,805500000,9.03e+08
790000000.000001,698100000,729800000
5.2e+08,535900000,545300000
3.8e+08,377300000,3.75e+08
1.1e+09,946100000,876600000
659999999.999999,520900000,508300000
8e+08,730800000,765200000
374999999.999999,379600000,373800000
390000000.000001,404800000,395800000
410000000.000001,405800000,400500000
3.25e+08,343300000,339700000
3.8e+08,493100000,4.86e+08
600000000.000001,501100000,489800000
7e+08,717800000,714500000
604999999.999999,6.3e+08,613100000
604999999.999999,6.3e+08,613100000
7.65e+08,689300000,721400000
560000000.000001,7.88e+08,750200000
539999999.999999,602600000,612100000
544156782.999999,519600000,506900000
849999999.999999,824500000,884400000
620000000.000001,575700000,578600000
829999999.999999,770900000,788700000
470000000.000001,485800000,483300000
620000000.000001,584400000,585100000
390000000.000001,400500000,392700000
1.1e+09,791100000,7.94e+08
7.5e+08,817500000,811600000
979999999.999999,1022600000,1020300000
729999999.999999,735400000,718700000
550000000.000001,572700000,571500000
6.7e+08,797200000,757300000
539999999.999999,602600000,612100000
6.8e+08,7.23e+08,718900000
550000000.000001,761600000,687400000
7.5e+08,790300000,771900000
1.58e+09,1589800000,1542700000
869999999.999999,880800000,868100000
1.195e+09,1204700000,1244300000
7.5e+08,790300000,771900000
550000000.000001,6.97e+08,685800000
1.36e+09,837300000,7.58e+08
8.4e+08,1019500000,961300000
869999999.999999,868200000,846400000
1.2e+09,1171700000,1113900000
950000000.000001,1037900000,1007200000
612420488.999999,475800000,482800000
3.2e+08,334600000,3.77e+08
3.05e+08,329700000,330600000
3.15e+08,329700000,330600000
479999999.999999,621900000,628500000
7.5e+08,706600000,772600000
4.95e+08,502200000,503500000
3.2e+08,370400000,360200000
6.8e+08,832800000,794600000
1.5e+09,1391400000,1433400000
7.8e+08,777900000,7.92e+08
5e+08,486500000,467900000
3.51e+08,4.24e+08,449400000
7.4e+08,626700000,609500000
3.07e+08,341500000,332300000
419999999.999999,451400000,437900000
498000000.000001,478200000,474100000
550000000.000001,472500000,4.51e+08
3.88e+08,418600000,409100000
470000000.000001,533200000,514500000
5e+08,514400000,5.25e+08
720000000.000001,710700000,725300000
3.8e+08,472200000,468400000
419999999.999999,7.36e+08,728500000
809999999.999999,461100000,459400000
6.8e+08,558600000,553500000
4.3e+08,412200000,410900000
381500000,388600000,386300000
4.3e+08,472800000,477300000
8e+08,7.77e+08,788500000
1.2e+09,1072100000,1082100000
490000000.000001,5.33e+08,557500000
3.95e+08,438900000,429200000
3e+08,415800000,391400000
376696600,380500000,372800000
439900000,3.98e+08,392200000
550000000.000001,554600000,561400000
759999999.999999,620500000,635200000
3.85e+08,4.48e+08,442700000
3.85e+08,386300000,382400000
470000000.000001,415700000,3.95e+08
3.07e+08,366700000,340600000
5e+08,463100000,467800000
1.17e+09,1394700000,1335100000
1.1e+09,1258500000,1255300000
399999999.999999,556200000,541200000
6.5e+08,529600000,560800000
549900000.000001,6.24e+08,611700000
419899999.999999,552400000,542600000
3.3e+08,466100000,457600000
468500000.000001,435800000,441500000
4.78e+08,441100000,432100000
349999999.999999,326300000,331600000
4.3e+08,438600000,426600000
4.78e+08,441100000,432100000
3.1e+08,319600000,324100000
490000000.000001,451900000,494700000
340000000.000001,379400000,368800000
416000000.000001,401800000,397300000
382999999.999999,379900000,366400000
3.6e+08,420200000,417400000
349999999.999999,406400000,407500000
3.2e+08,364700000,356100000
410000000.000001,472400000,462200000
470000000.000001,491200000,488100000
3.3e+08,361400000,364200000
4.6e+08,431700000,429200000
724999999.999999,762800000,771300000
510000000.000001,641300000,625700000
3.8e+08,409200000,401600000
650560000.000001,627900000,618800000
3.8e+08,397400000,393600000
3.8e+08,401200000,392900000
5e+08,476100000,485900000
4.3e+08,583200000,587400000
510000000.000001,641300000,625700000
3.35e+08,407500000,394300000
479999999.999999,431700000,429200000
650560000.000001,627900000,618800000
4.3e+08,381300000,396600000
449999999.999999,413400000,418500000
7.47e+08,475300000,482100000
379900000,403400000,396200000
449999999.999999,413400000,418500000
449999999.999999,413400000,418500000
5.77e+08,414100000,408700000
3e+08,369800000,349200000
790000000.000001,7.86e+08,794300000
790000000.000001,7.86e+08,794300000
410000000.000001,404600000,405600000
1.3e+09,1253500000,1246200000
4.3e+08,365100000,3.81e+08
1.4e+09,1404100000,1417100000
449999999.999999,414300000,4.21e+08
5.9e+08,438100000,440900000
440500000,471600000,460700000
467000000.000001,431600000,442600000
399999999.999999,472300000,447600000
3.2e+08,487600000,459300000
5e+08,4.93e+08,495200000
389900000,372400000,359700000
6.1e+08,4.19e+08,403400000
1.1e+09,1149200000,1144700000
419999999.999999,408100000,402400000
1.4e+09,1437100000,1421800000
498000000.000001,509800000,477200000
6.35e+08,6.85e+08,690500000
889999999.999999,1007400000,1034700000
4.4e+08,367600000,368700000
990000000.000001,956100000,949800000
490000000.000001,491600000,493100000
1.3e+09,1218400000,1248400000
1.35e+09,1379700000,1.356e+09
410000000.000001,436100000,451500000
555000000.000001,623100000,6.24e+08
620000000.000001,630200000,633300000
7.8e+08,878900000,877500000
889999999.999999,1007400000,1034700000
470000000.000001,414600000,408900000
1.6e+09,1421300000,1308700000
979999999.999999,1026400000,1036200000
560000000.000001,5.79e+08,5.77e+08
419999999.999999,452400000,441600000
3.3e+08,356700000,356200000
630000000.000001,490600000,495200000
620000000.000001,582100000,583600000
5.8e+08,5.9e+08,577200000
436000000.000001,456800000,463900000
470000000.000001,413100000,404400000
659999999.999999,522100000,486600000
1.4e+09,1437100000,1421800000
364900000,455800000,444800000
525000000.000001,542900000,5.11e+08
1.19e+09,699700000,735400000
620000000.000001,533800000,5.58e+08
8.2e+08,7.07e+08,748700000
3.2e+08,329200000,3.22e+08
3e+08,4.31e+08,395300000
329900000,309700000,306500000
5e+08,4.39e+08,451100000
5.8e+08,719300000,716500000
6.7e+08,540600000,531700000
433500000,485800000,4.62e+08
3.3e+08,398300000,401400000
349900000,463800000,486400000
1.2e+09,884100000,866300000
630000000.000001,712900000,715500000
729999999.999999,8.51e+08,831100000
7.5e+08,761800000,754700000
659999999.999999,732600000,725500000
359900000,584700000,606300000
930000000.000001,863400000,879600000
1.5e+09,1488500000,1.414e+09
1.45e+09,1097800000,1102100000
649900000.000001,852900000,814300000
739900000,899700000,856900000
1.55e+09,1556200000,1.563e+09
849999999.999999,1078900000,1074900000
849899999.999999,585100000,5.88e+08
6.5e+08,665400000,653600000
900000000.000001,1045200000,966800000
549900000.000001,4.96e+08,512200000
5.7e+08,516700000,525600000
499899999.999999,438100000,4.52e+08
4.13e+08,568200000,561300000
1.05e+09,852100000,911200000
930000000.000001,943900000,973300000
7.8e+08,975600000,9.18e+08
1.2e+09,939900000,952700000
1e+09,754600000,809900000
1.38e+09,1308200000,1292600000
600000000.000001,501900000,501100000
689899999.999999,728800000,680300000
369900000,550100000,528200000
1.25e+09,1048600000,1105500000
749900000,527300000,559100000
619900000.000001,533300000,547600000
649900000.000001,593600000,5.64e+08
399899999.999999,503300000,531500000
849899999.999999,930900000,975900000
329900000,614600000,6.34e+08
529899999.999999,5.03e+08,516200000
820580000.000001,921800000,901300000
349999999.999999,431700000,399300000
649900000.000001,577500000,574300000
349900000,446700000,418100000
599900000,598700000,5.85e+08
4.6e+08,513300000,527300000
399899999.999999,434100000,433800000
429900000,606100000,584700000
1.199e+09,800400000,893300000
589900000,6.68e+08,642900000
649900000.000001,676300000,694500000
369900000,439600000,458500000
5e+08,394100000,424100000
3.05e+08,506100000,487200000
499899999.999999,600300000,614600000
329900000,3.91e+08,418900000
379900000,485300000,4.47e+08
319900000,486600000,454500000
5.9e+08,691800000,715500000
6.5e+08,862800000,799300000
550000000.000001,474900000,457200000
5.7e+08,531300000,542600000
7.5e+08,828600000,849700000
1.5e+09,1.115e+09,1140600000
630000000.000001,699500000,708900000
470000000.000001,529600000,562300000
4.95e+08,512900000,446400000
3.85e+08,381100000,405500000
3.85e+08,386300000,380900000
685000000.000001,734800000,728600000
829999999.999999,860100000,916300000
3e+08,333900000,336200000
979999999.999999,663500000,677400000
1.1e+09,1090200000,1092800000
6.5e+08,634200000,624500000
4.15e+08,403900000,395600000
3e+08,417900000,439900000
3.1e+08,472500000,498400000
1.6e+09,1587600000,1521200000
1.25e+09,880100000,879900000
6.8e+08,646200000,669300000
1.05e+09,1156600000,1235600000
4.07e+08,375400000,376200000
620000000.000001,559500000,540300000
3e+08,486600000,488900000
449999999.999999,576100000,5.81e+08
950000000.000001,825600000,839200000
550000000.000001,556500000,551900000
3.8e+08,422200000,410600000
4.25e+08,420500000,4.16e+08
1.55e+09,1205900000,1.193e+09
640000000.000001,736300000,750900000
3e+08,378900000,372700000
3.8e+08,515700000,507800000
3.39e+08,387600000,396500000
428999999.999999,416700000,438500000
3.08e+08,343100000,336400000
5.9e+08,575300000,529600000
950000000.000001,609700000,622100000
3.1e+08,322400000,326400000
470000000.000001,537600000,544100000
3.8e+08,378300000,375900000
390000000.000001,370900000,378100000
8e+08,730500000,765400000
349999999.999999,4.04e+08,370400000
349999999.999999,414800000,400700000
374999999.999999,415400000,410800000
390000000.000001,353600000,354800000
419999999.999999,405100000,399700000
369999999.999999,454500000,457700000
349999999.999999,334400000,336100000
3.1e+08,326500000,3.27e+08
3.6e+08,365400000,3.62e+08
390000000.000001,406400000,396900000
7e+08,728500000,731100000
550000000.000001,588700000,580100000
6.55e+08,7.26e+08,729500000
7e+08,676800000,667400000
979999999.999999,1035400000,1032800000
790000000.000001,685300000,657200000
7e+08,738700000,717600000
470000000.000001,492800000,4.86e+08
369999999.999999,460500000,459900000
3.35e+08,402100000,392900000
5.2e+08,522400000,516200000
1.4e+09,1212500000,1246500000
1.3e+09,1497100000,1443700000
6.7e+08,888300000,814800000
7.5e+08,790900000,773400000
8e+08,843900000,840800000
1.3e+09,1215500000,1258800000
1.49e+09,1338100000,1432400000
630000000.000001,568500000,588700000
4.6e+08,511900000,516500000
1.4e+09,8.48e+08,822700000
620000000.000001,614600000,619600000
419999999.999999,427200000,423400000
790000000.000001,780100000,782600000
6.8e+08,8.15e+08,859800000
849999999.999999,598400000,634600000
5e+08,500300000,496400000
3.8e+08,456100000,454100000
3.2e+08,5.05e+08,497800000
979999999.999999,9.87e+08,990900000
1.34e+09,751700000,779700000
3.07e+08,304200000,303100000
5e+08,405800000,412600000
419999999.999999,531100000,504900000
675000000.000001,696200000,686400000
364708200,373200000,369100000
659999999.999999,648900000,637400000
4.15e+08,413900000,421300000
659999999.999999,648900000,637400000
369999999.999999,394500000,418500000
564999999.999999,532400000,502600000
5.2e+08,553800000,564600000
617999999.999999,662400000,682100000
398963399.999999,409300000,409600000
419999999.999999,431800000,420600000
333785000.000001,366300000,363600000
3e+08,3.38e+08,333500000
979999999.999999,9.71e+08,960900000
5.35e+08,5.25e+08,524300000
5.9e+08,611100000,6.04e+08
869999999.999999,798200000,760600000
410000000.000001,4.62e+08,444300000
3.05e+08,330800000,326600000
4.3e+08,388300000,402900000
598000000.000001,638400000,618100000
539999999.999999,522400000,509800000
479999999.999999,457700000,462300000
4.95e+08,4.56e+08,471500000
494540700,476400000,475500000
5.2e+08,427600000,4.29e+08
340000000.000001,383700000,384600000
4.05e+08,385600000,391700000
3.78e+08,438200000,427200000
950000000.000001,982600000,963300000
5e+08,496300000,490900000
990000000.000001,978400000,966500000
5.9e+08,487400000,466800000
1.25e+09,1136500000,1167700000
730999999.999999,729400000,734300000
7.5e+08,784700000,766800000
4.25e+08,470800000,478900000
889999999.999999,968600000,964200000
1.6e+09,923100000,9.25e+08
6.5e+08,713700000,700600000
900000000.000001,1147200000,1144800000
1.05e+09,1090100000,1.06e+09
1.25e+09,1308800000,1308900000
1.35e+09,1194700000,1.232e+09
1.05e+09,867600000,914300000
5e+08,500500000,492600000
849999999.999999,681500000,683900000
3.29e+08,487500000,481300000
3.8e+08,494200000,490900000
849999999.999999,722900000,707300000
7e+08,723100000,720600000
950000000.000001,1041500000,1093900000
8e+08,733800000,7.23e+08
3e+08,382700000,394200000
390000000.000001,479900000,418500000
479999999.999999,563100000,584500000
550000000.000001,566600000,576700000
5e+08,431300000,411300000
4.35e+08,436700000,419700000
470000000.000001,386400000,380500000
3.6e+08,412500000,4.05e+08
449999999.999999,499600000,488400000
1.286e+09,1197300000,1264900000
849999999.999999,1.031e+09,1002600000
560000000.000001,585800000,538500000
6.7e+08,678300000,679300000
7.4e+08,687800000,7.13e+08
797999999.999999,8.17e+08,814600000
1.4e+09,9.58e+08,920400000
3.8e+08,376900000,373900000
